lon,lat,time,EPV,H,O3,OMEGA,PHIS,PS,QI,QL,QV,RH,SLP,T,U,V
-120.0,14.0,2022-01-31,2.016451e-07,5832.289,6.2406144e-08,0.19082317,0.0,101099.93,3.6379788e-09,5.3536496e-08,0.0025701527,0.64013684,101099.336,265.11908,4.5422316,13.517349
-120.0,14.0,2022-02-28,2.2473236e-07,5848.383,6.0147194e-08,-0.009090453,0.0,101310.29,1.133742e-10,6.702612e-08,0.0024814638,0.6132819,101307.38,265.2827,5.609091,12.300899
-120.0,14.0,2022-03-31,9.452157e-08,5854.165,6.070731e-08,0.019632876,0.0,101409.23,1.2111201e-11,1.6519334e-07,0.0025014877,0.62158203,101412.0,265.12512,6.0248823,11.626438
-120.0,14.0,2022-04-30,6.652863e-08,5845.454,6.18835e-08,0.041594416,0.0,101291.33,4.3272053e-11,7.278868e-08,0.0024814606,0.6166992,101295.11,265.14935,6.525176,9.803203
-120.0,14.0,2022-05-31,1.5823028e-07,5839.374,6.285084e-08,0.06777507,0.0,101247.52,1.1441443e-09,6.190385e-08,0.0027666092,0.7062989,101246.86,264.78128,6.509518,6.753254
-120.0,14.0,2022-06-30,2.256822e-07,5851.6,6.3293854e-08,0.0434559,0.0,101405.25,1.963781e-08,2.476154e-07,0.0030708325,0.78955096,101407.19,264.65915,5.8796697,4.3632727
-120.0,14.0,2022-07-31,2.3326504e-07,5865.1187,6.4564816e-08,-0.0019409359,0.0,101528.805,1.1637894e-08,1.5815021e-07,0.0029173081,0.734144,101527.05,264.9326,3.7490277,3.8700697
-120.0,14.0,2022-08-31,2.3287674e-07,5847.2456,6.697655e-08,0.0045963526,0.0,101268.93,2.6147973e-11,1.5104888e-08,0.0025768299,0.6384283,101272.71,265.172,2.2670445,4.824109
-120.0,14.5,2022-01-31,3.6186168e-07,5829.914,6.2115106e-08,0.10195598,0.0,101123.93,2.0982327e-11,1.542503e-08,0.0027780537,0.7048341,101126.336,264.86127,5.1634474,13.5368805
-120.0,14.5,2022-02-28,3.9954452e-07,5846.133,5.952146e-08,-0.0028648674,0.0,101334.29,1.6120794e-10,7.337076e-08,0.0026445421,0.66577214,101332.38,265.07178,5.503622,12.707149
-120.0,14.5,2022-03-31,3.2060012e-07,5852.665,5.9775985e-08,0.055521548,0.0,101433.23,1.4830448e-10,1.1138036e-07,0.002781868,0.70874023,101432.0,264.84387,6.9106245,12.099094
-120.0,14.5,2022-04-30,1.5570276e-07,5844.329,6.105404e-08,-0.0005198419,0.0,101315.33,6.08793e-11,5.1179086e-08,0.0026741028,0.67529297,101318.61,264.9228,7.820098,10.455546
-120.0,14.5,2022-05-31,1.5328263e-07,5838.749,6.2152345e-08,0.065944016,0.0,101263.52,7.98309e-10,6.8946974e-08,0.0028162003,0.72534186,101266.86,264.6719,7.4011197,7.2122383
-120.0,14.5,2022-06-30,1.8333613e-07,5850.975,6.1634935e-08,0.018797696,0.0,101429.25,1.1234079e-08,2.3067696e-07,0.003051759,0.7929689,101426.19,264.52634,6.2737126,4.314933
-120.0,14.5,2022-07-31,1.4374166e-07,5864.1187,6.1523465e-08,0.0017211735,0.0,101560.805,7.221388e-09,1.9406434e-07,0.0029487794,0.7522104,101560.05,264.7607,3.934956,3.4893324
-120.0,14.5,2022-08-31,1.6349321e-07,5846.4956,6.3396776e-08,0.011066079,0.0,101300.93,6.619416e-11,4.269532e-08,0.0028305072,0.7060552,101300.71,265.0509,2.2611852,3.7052124
-120.0,15.0,2022-01-31,4.5042464e-07,5827.789,6.194048e-08,0.046291918,0.0,101147.93,8.4379806e-32,2.1498193e-32,0.002932549,0.74658215,101147.336,264.79095,5.6531935,12.810318
-120.0,15.0,2022-02-28,4.5640977e-07,5844.383,5.8924833e-08,0.018131226,0.0,101350.29,8.3701934e-11,3.6801794e-08,0.0027751955,0.7082526,101349.88,264.86084,5.375448,12.429805
-120.0,15.0,2022-03-31,5.6408277e-07,5851.165,5.8859214e-08,0.0561319,0.0,101441.23,1.4495072e-10,6.344635e-08,0.0029773712,0.7717285,101442.5,264.63293,6.9907026,11.825657
-120.0,15.0,2022-04-30,3.8515736e-07,5842.454,5.8900355e-08,-0.037873358,0.0,101339.33,6.3579364e-11,3.1242962e-08,0.0031023026,0.8059082,101335.61,264.53998,8.544707,10.467265
-120.0,15.0,2022-05-31,2.366942e-07,5837.499,6.0624394e-08,0.05239421,0.0,101279.52,3.152536e-10,1.15484e-07,0.003033638,0.79443365,101281.36,264.45316,8.266354,7.7337227
-120.0,15.0,2022-06-30,1.7729708e-07,5850.1,6.039802e-08,-0.004517734,0.0,101437.25,1.1001248e-08,5.7020225e-07,0.003087045,0.81347674,101437.69,264.3857,7.147736,4.5854406
-120.0,15.0,2022-07-31,7.819983e-08,5863.1187,5.982089e-08,0.0059936345,0.0,101584.805,3.4481218e-10,1.6269041e-07,0.0029125398,0.75147796,101586.05,264.66696,5.0526776,3.4602797
-120.0,15.0,2022-08-31,4.4283922e-08,5845.9956,6.044274e-08,0.012897134,0.0,101324.93,5.979928e-11,5.9138983e-08,0.0028295536,0.70507866,101326.71,265.06653,3.2501988,2.801648
-120.0,15.5,2022-01-31,4.3495595e-07,5825.539,6.178041e-08,-0.0036348403,0.0,101163.93,1.1455995e-08,4.3795444e-07,0.003014565,0.76391613,101166.836,264.8144,5.8612013,11.841568
-120.0,15.5,2022-02-28,4.3048917e-07,5842.383,5.8575587e-08,0.024356812,0.0,101358.29,1.3342287e-09,4.9447408e-08,0.0029411349,0.7563483,101356.88,264.68896,5.703085,11.875117
-120.0,15.5,2022-03-31,5.9819246e-07,5849.915,5.8379e-08,0.02537018,0.0,101449.23,1.2187229e-10,4.7060894e-08,0.00303936,0.79589844,101450.0,264.4923,6.8207808,11.134251
-120.0,15.5,2022-04-30,5.4621796e-07,5840.329,5.73433e-08,-0.033234686,0.0,101355.33,6.582468e-11,2.401066e-08,0.0033502579,0.8886719,101355.61,264.25873,8.420684,9.67039
-120.0,15.5,2022-05-31,3.9322188e-07,5836.249,5.870354e-08,0.042018235,0.0,101303.52,7.628387e-10,2.5390182e-07,0.0033073425,0.881836,101306.86,264.21097,8.322018,7.472004
-120.0,15.5,2022-06-30,3.1749022e-07,5849.225,5.991781e-08,-0.009156406,0.0,101461.25,6.245682e-08,2.283603e-06,0.0031976711,0.8527834,101460.19,264.249,7.3723454,4.7167883
-120.0,15.5,2022-07-31,1.7726927e-07,5862.3687,6.012648e-08,0.007824689,0.0,101616.805,3.922196e-10,1.5186379e-07,0.002891559,0.7483041,101619.55,264.6904,6.173283,3.5382826
